fromDeviceLocation,toDeviceLocation,interstationTime
151019065,151019063,125
151019063,151019061,154
151019061,151019059,136
151019059,151019057,164
151019057,151019055,207
151019055,151019053,139
151019053,151019051,85579
151019051,151019049,117
151019049,151019047,335
151019047,151019045,85528
151019045,151019043,231
151019043,151019041,180
151019041,151019039,182
151019039,151019037,305
151019037,151019035,183
151019035,151019033,145
151019033,151019031,175
151019031,151019029,241
151019027,151019029,144
151019029,151019031,236
151019031,151019033,170
151019033,151019035,140
151019035,151019037,178
151019037,151019039,305
151019039,151019041,172
151019041,151019043,180
151019043,151019045,85175
151019045,151019047,205
151019047,151019049,365
151019049,151019051,199
151019051,151019053,172
151019053,151019055,174
151019055,151019057,189
151019057,151019059,151
151019059,151019061,147
151019061,151019063,141
